PAC;BRA;3.6;3.25;2.1;3.6;3.1;2.1;3.1;3;2.2;3.9;3.1;1.91;3.89;3.43;2.08;3.6;3.2;2;3.6;3.2;2.05;3.75;3.4;2.1
EST;NAC;2.3;3.25;3.1;2.2;3.1;3.3;2.3;3.1;2.9;;;;2.39;3.37;3.17;2.25;3.2;2.75;2.3;3.25;3;2.4;3.3;3.12
GUI;OLH;2;3.4;3.75;1.95;3.25;3.8;1.8;3.2;4.2;1.95;3.1;3.8;2.05;3.43;4;1.67;3.4;4.33;1.95;3.3;3.6;2.05;3.4;4
BEL;RIO;2.63;3.1;2.75;2.5;3;2.85;2.4;3;2.85;2.55;3;2.65;2.76;3.14;2.86;2.6;3;2.7;2.63;3.13;2.63;2.62;3.1;2.7
GIL;ACA;2.3;3.2;3.1;2.4;3;3;2.3;3.1;2.9;2.4;3;2.9;2.54;3.23;3.06;2.45;3;2.9;2.38;3;3;2.38;3.1;3
MAR;BEN;7.5;4.2;1.44;7.25;4.2;1.42;7.5;3.8;1.4;7.5;4.1;1.4;8.85;4.55;1.43;8;4;1.4;8.5;4.33;1.4;8.5;4.4;1.36
SET;POR;12;5.5;1.25;10;5;1.28;10.5;4.6;1.25;12;5;1.25;13.65;5.67;1.28;11;5;1.25;12;5.25;1.25;13;5.5;1.22
SPO;ARO;1.4;4.5;8;1.36;4.4;8.25;1.4;3.8;7.5;1.36;4.25;8.5;1.41;4.73;9.19;1.4;4.2;7.5;1.4;4.33;7.5;1.36;4.33;8.5
ACA;SPO;4;3.4;1.91;4.33;3.5;1.78;4;3.2;1.8;4;3.4;1.8;4.5;3.5;1.92;4.2;3.2;1.85;4;3.3;1.9;4.33;3.5;1.91
OLH;PAC;2.6;3.2;2.7;2.65;3.1;2.6;2.6;3;2.6;2.6;3;2.6;2.8;3.17;2.8;2.7;3;2.6;2.63;3.13;2.63;2.75;3.2;2.75
ARO;EST;2.9;3.25;2.4;3.1;3.1;2.3;2.8;3.1;2.3;3.1;3;2.25;3.25;3.3;2.38;3.1;3.1;2.25;3;3.13;2.38;3.2;3.25;2.38
BEN;GIL;1.17;7;15;1.15;7;14.5;1.15;6;13;1.15;6.5;17;1.2;7.45;16.02;1.18;6;13;1.18;7;11;1.18;7;17
NAC;GUI;2;3.3;3.8;2;3.4;3.5;2;3.2;3.3;1.95;3.3;3.5;2.11;3.48;3.73;2.05;3.25;3.4;2;3.3;3.6;2.1;3.4;3.6
POR;MAR;1.17;7.5;13;1.14;7;15.5;1.15;6;13;1.15;6.5;18;1.19;7.65;17.56;1.18;6;13;1.17;7.5;12;1.17;7.5;18
RIO;SET;1.73;3.5;5;1.7;3.4;5;1.75;3.3;4.2;1.75;3.3;4.33;1.76;3.62;5.43;1.73;3.4;4.6;1.73;3.3;5;1.75;3.6;5
BRA;BEL;1.33;4.5;11;1.36;4.4;8.25;1.35;4.2;7.5;1.33;4.5;8.5;1.35;5.19;10.33;1.33;4.5;8.5;1.33;4.33;10;1.33;5;10.5
GUI;SET;1.8;3.5;4.5;1.75;3.5;4.4;1.8;3.2;4;1.75;3.4;4.2;1.86;3.63;4.6;1.8;3.4;4;1.8;3.6;4;1.85;3.6;4.5
SPO;BEN;2.88;3.4;2.38;2.7;3.4;2.4;2.7;3.1;2.4;2.75;3.1;2.4;2.93;3.42;2.52;2.6;3.2;2.5;2.75;3.4;2.4;2.9;3.4;2.5
ARO;RIO;3.3;3.3;2.2;3.6;3.2;2.05;3.2;3.1;2.1;3.2;3.1;2.15;3.55;3.42;2.19;3.25;3.25;2.1;3.3;3.25;2.1;3.5;3.4;2.2
BEL;NAC;2.8;3.25;2.5;2.6;3.2;2.6;2.6;3.1;2.5;2.7;3;2.5;2.94;3.27;2.6;2.7;3.2;2.45;2.75;3.2;2.5;2.9;3.25;2.55
GIL;BRA;4.75;3.6;1.75;4.25;3.5;1.78;4.2;3.3;1.75;4.33;3.4;1.75;4.82;3.77;1.79;4;3.5;1.8;4.8;3.4;1.73;4.75;3.75;1.75
MAR;OLH;1.73;3.75;4.5;1.67;3.6;5;1.7;3.4;4.3;1.7;3.3;4.8;1.74;3.6;5.65;1.73;3.3;4.8;1.73;3.6;4.5;1.73;3.6;5.4
PAC;POR;12;5.5;1.25;10.5;5.25;1.26;9;4.6;1.27;12;5;1.25;12.48;5.6;1.3;11;5;1.25;11;5.25;1.25;13;5.75;1.25
EST;ACA;1.57;3.8;6;1.62;3.7;5.25;1.55;3.7;5;1.57;3.6;5.5;1.61;3.99;6.39;1.6;3.5;5.5;1.57;3.6;5.5;1.6;3.9;6
BEN;PAC;1.25;5.5;12;1.22;5.75;11;1.22;5;10;1.25;5.25;11;1.26;6.2;12.9;1.29;5;9;1.29;5.5;9;1.25;6;11
POR;GIL;1.14;7.5;17;1.17;7;12.5;1.15;6;13;1.15;7;19;1.14;8.71;23.99;1.17;6;15;1.14;7.5;15;1.13;8.5;26
