SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
-1, 2.1, 2.1, 2.2, 1.91, 2.08, 2, 2.05, 2.1
1, 3.1, 3.3, 2.9, 4, 3.17, 2.75, 3, 3.12
1, 3.75, 3.8, 4.2, 3.8, 4, 4.33, 3.6, 4
-1, 2.75, 2.85, 2.85, 2.65, 2.86, 2.7, 2.63, 2.7
1, 3.1, 3, 2.9, 2.9, 3.06, 2.9, 3, 3
1, 1.44, 1.42, 1.4, 1.4, 1.43, 1.4, 1.4, 1.36
-1, 1.25, 1.28, 1.25, 1.25, 1.28, 1.25, 1.25, 1.22
1, 8, 8.25, 7.5, 8.5, 9.19, 7.5, 7.5, 8.5
-1, 1.91, 1.78, 1.8, 1.8, 1.92, 1.85, 1.9, 1.91
1, 2.7, 2.6, 2.6, 2.6, 2.8, 2.6, 2.63, 2.75
-1, 2.4, 2.3, 2.3, 2.25, 2.38, 2.25, 2.38, 2.38
1, 15, 14.5, 13, 17, 16.02, 13, 11, 17
0, 3.8, 3.5, 3.3, 3.5, 3.73, 3.4, 3.6, 3.6
1, 13, 15.5, 13, 18, 17.56, 13, 12, 18
1, 5, 5, 4.2, 4.33, 5.43, 4.6, 5, 5
1, 11, 8.25, 7.5, 8.5, 10.33, 8.5, 10, 10.5
-1, 4.5, 4.4, 4, 4.2, 4.6, 4, 4, 4.5
0, 2.38, 2.4, 2.4, 2.4, 2.52, 2.5, 2.4, 2.5
1, 2.2, 2.05, 2.1, 2.15, 2.19, 2.1, 2.1, 2.2
-1, 2.5, 2.6, 2.5, 2.5, 2.6, 2.45, 2.5, 2.55
1, 1.75, 1.78, 1.75, 1.75, 1.79, 1.8, 1.73, 1.75
0, 4.5, 5, 4.3, 4.8, 5.65, 4.8, 4.5, 5.4
-1, 1.25, 1.26, 1.27, 1.25, 1.3, 1.25, 1.25, 1.25
0, 6, 5.25, 5, 5.5, 6.39, 5.5, 5.5, 6
1, 12, 11, 10, 11, 12.9, 9, 9, 11
1, 17, 12.5, 13, 19, 23.99, 15, 15, 26
-1, 4.33, 3.9, 3.8, 4, 4.23, 4, 4, 4.2
1, 3.5, 3.5, 3.2, 3.4, 3.64, 3.4, 3.3, 3.5
-1, 4.75, 5, 4.3, 4.6, 4.95, 4.75, 4.8, 4.6
-1, 1.5, 1.48, 1.5, 1.45, 1.51, 1.5, 1.5, 1.5
-1, 2.45, 2.6, 2.6, 2.45, 2.63, 2.45, 2.5, 2.55
1, 6, 5.25, 5, 5.25, 6.04, 5, 5.75, 5.5
-1, 1.73, 1.6, 1.7, 1.62, 1.74, 1.73, 1.67, 1.7
1, 2.38, 2.45, 2.3, 2.35, 2.47, 2.37, 2.38, 2.5
0, 3.75, 4, 3.6, 3.8, 3.8, 3.8, 3.6, 3.75
0, 11, 8.25, 7.5, 8.5, 10.06, 8, 9, 9
0, 1.4, 1.4, 1.35, 1.36, 1.41, 1.44, 1.4, 1.4
-1, 1.4, 1.45, 1.4, 1.4, 1.44, 1.44, 1.4, 1.4
1, 4, 3.9, 3.6, 3.6, 3.99, 3.75, 3.75, 4
0, 4.33, 4.25, 4, 4, 4.26, 4.5, 4, 4.1
1, 15, 13.5, 12, 16, 18.4, 13, 12, 17
0, 3.3, 3.5, 3.3, 3.2, 3.41, 3.4, 3.25, 3.3
0, 17, 16, 13, 18, 18.7, 15, 12, 17
-1, 3.6, 3.4, 3.3, 3.4, 3.48, 3.6, 3.3, 3.4
-1, 2, 1.95, 2, 1.9, 2.02, 2, 1.95, 2
-1, 3.6, 3.7, 3.2, 3.5, 3.65, 3.25, 3.4, 3.6
-1, 2.8, 2.75, 2.6, 2.75, 3.07, 2.8, 2.8, 3
0, 3.25, 3.4, 3, 3.2, 3.36, 3.3, 3.25, 3.3
-1, 2.38, 2.4, 2.4, 2.35, 2.47, 2.3, 2.38, 2.4
1, 3.8, 3.9, 3.3, 3.5, 3.96, 3.75, 3.8, 3.9
1, 9.5, 10, 8.5, 9, 11.37, 8.5, 9.5, 10
-1, 1.22, 1.22, 1.22, 1.22, 1.24, 1.25, 1.22, 1.22
-1, 1.67, 1.67, 1.6, 1.66, 1.71, 1.65, 1.67, 1.67
1, 2.3, 2.35, 2.3, 2.3, 2.37, 2.25, 2.3, 2.38
1, 2, 2, 2, 2, 2.05, 2, 2, 2
1, 3.2, 3.5, 3.2, 3.3, 3.53, 3.1, 3.2, 3.4
-1, 8.5, 7.75, 6.5, 8, 9.3, 7.5, 7.5, 9
1, 2.8, 2.9, 2.7, 2.7, 2.95, 3, 2.8, 2.88
-1, 4.5, 4.4, 4.3, 4.33, 4.85, 4.6, 4.5, 4.8
0, 2.8, 2.9, 3, 2.7, 2.84, 2.7, 2.75, 2.88
1, 12, 10, 9.5, 9.5, 10.5, 9.5, 9, 11
-1, 2.6, 2.55, 2.45, 2.45, 2.71, 2.45, 2.6, 2.62
1, 6, 4.75, 5, 5, 5.91, 4.8, 5.5, 5.75
-1, 3.3, 3.2, 3.3, 3.3, 3.31, 3.1, 3.2, 3.12
-1, 1.4, 1.36, 1.37, 1.4, 1.45, 1.4, 1.4, 1.4
0, 1.33, 1.33, 1.33, 1.3, 1.33, 1.29, 1.33, 1.33
1, 9.5, 7, 7.5, 7.5, 9.89, 7, 7.5, 9
0, 2.5, 2.5, 2.5, 2.45, 2.57, 2.5, 2.5, 2.55
-1, 5.5, 5.25, 4.8, 5, 5.91, 5, 5, 5.75
1, 2.6, 2.6, 2.5, 2.5, 2.65, 2.7, 2.5, 2.6
0, 6, 5, 4.5, 5.5, 6.71, 5, 5.8, 6
-1, 6, 5, 4.5, 5.25, 6.09, 4.8, 5.5, 5.75
1, 6, 5.75, 5.5, 5.2, 6.24, 5.5, 5.5, 5.75
0, 10, 11, 11, 12, 14.45, 9.5, 10, 15
-1, 1.83, 1.75, 1.8, 1.75, 1.85, 1.85, 1.8, 1.83
