SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
0, 3.25, 3.1, 3, 3.1, 3.43, 3.2, 3.2, 3.4
0, 3.25, 3.1, 3.1, 3, 3.37, 3.2, 3.25, 3.3
0, 3.4, 3.25, 3.2, 3.1, 3.43, 3.4, 3.3, 3.4
0, 3.1, 3, 3, 3, 3.14, 3, 3.13, 3.1
0, 3.2, 3, 3.1, 3, 3.23, 3, 3, 3.1
0, 4.2, 4.2, 3.8, 4.1, 4.55, 4, 4.33, 4.4
0, 5.5, 5, 4.6, 5, 5.67, 5, 5.25, 5.5
0, 4.5, 4.4, 3.8, 4.25, 4.73, 4.2, 4.33, 4.33
0, 3.4, 3.5, 3.2, 3.4, 3.5, 3.2, 3.3, 3.5
0, 3.2, 3.1, 3, 3, 3.17, 3, 3.13, 3.2
0, 3.25, 3.1, 3.1, 3, 3.3, 3.1, 3.13, 3.25
0, 7, 7, 6, 6.5, 7.45, 6, 7, 7
1, 3.3, 3.4, 3.2, 3.3, 3.48, 3.25, 3.3, 3.4
0, 7.5, 7, 6, 6.5, 7.65, 6, 7.5, 7.5
0, 3.5, 3.4, 3.3, 3.3, 3.62, 3.4, 3.3, 3.6
0, 4.5, 4.4, 4.2, 4.5, 5.19, 4.5, 4.33, 5
0, 3.5, 3.5, 3.2, 3.4, 3.63, 3.4, 3.6, 3.6
1, 3.4, 3.4, 3.1, 3.1, 3.42, 3.2, 3.4, 3.4
0, 3.3, 3.2, 3.1, 3.1, 3.42, 3.25, 3.25, 3.4
0, 3.25, 3.2, 3.1, 3, 3.27, 3.2, 3.2, 3.25
0, 3.6, 3.5, 3.3, 3.4, 3.77, 3.5, 3.4, 3.75
1, 3.75, 3.6, 3.4, 3.3, 3.6, 3.3, 3.6, 3.6
0, 5.5, 5.25, 4.6, 5, 5.6, 5, 5.25, 5.75
1, 3.8, 3.7, 3.7, 3.6, 3.99, 3.5, 3.6, 3.9
0, 5.5, 5.75, 5, 5.25, 6.2, 5, 5.5, 6
0, 7.5, 7, 6, 7, 8.71, 6, 7.5, 8.5
0, 3.4, 3.2, 3.2, 3.3, 3.55, 3.4, 3.4, 3.5
0, 3.3, 3.1, 3.1, 3.1, 3.25, 3.1, 3.25, 3.3
0, 3.5, 3.6, 3.4, 3.5, 3.72, 3.6, 3.4, 3.7
0, 4, 4, 3.8, 3.8, 4.16, 3.75, 3.75, 4.1
0, 3.2, 3, 3, 3, 3.14, 3.1, 3.2, 3.25
0, 3.8, 3.75, 3.7, 3.6, 4, 3.75, 3.6, 4
0, 3.6, 3.5, 3.4, 3.5, 3.74, 3.4, 3.5, 3.7
0, 3.4, 3, 3.1, 3.1, 3.39, 3.2, 3.25, 3.4
1, 3.4, 3.2, 3.2, 3.1, 3.35, 3.2, 3.2, 3.25
1, 4.2, 4.5, 4.2, 4.1, 4.88, 4.33, 4.33, 4.8
1, 4.33, 4.4, 4.2, 4.33, 4.8, 4.2, 4.33, 4.8
0, 4.33, 4, 4, 4.1, 4.63, 4, 4, 4.6
0, 3.4, 3.2, 3.2, 3.1, 3.39, 3.3, 3.3, 3.4
1, 3.4, 3.3, 3.2, 3.3, 3.54, 3.4, 3.3, 3.5
0, 6.5, 6.5, 5.7, 6, 7.35, 6, 6.5, 7
1, 3.4, 3, 3.2, 3, 3.41, 3.1, 3.25, 3.3
1, 8.5, 7, 6, 6.5, 8.1, 6, 7.5, 8
0, 3.2, 3.2, 3.2, 3, 3.35, 3.2, 3.2, 3.3
0, 3.3, 3.25, 3.2, 3.1, 3.35, 3.2, 3.2, 3.3
0, 3.2, 3.25, 3.1, 2.9, 3.37, 3.25, 3.2, 3.3
0, 3.4, 3.2, 3.1, 3.1, 3.36, 3.2, 3.25, 3.4
