SIGN, B365H, BWH, IWH, LBH, PSH, WHH, SJH, VCH
0, 3.6, 3.6, 3.1, 3.9, 3.89, 3.6, 3.6, 3.75
1, 2.3, 2.2, 2.3, 1.95, 2.39, 2.25, 2.3, 2.4
1, 2, 1.95, 1.8, 1.95, 2.05, 1.67, 1.95, 2.05
0, 2.63, 2.5, 2.4, 2.55, 2.76, 2.6, 2.63, 2.62
1, 2.3, 2.4, 2.3, 2.4, 2.54, 2.45, 2.38, 2.38
1, 7.5, 7.25, 7.5, 7.5, 8.85, 8, 8.5, 8.5
0, 12, 10, 10.5, 12, 13.65, 11, 12, 13
1, 1.4, 1.36, 1.4, 1.36, 1.41, 1.4, 1.4, 1.36
0, 4, 4.33, 4, 4, 4.5, 4.2, 4, 4.33
1, 2.6, 2.65, 2.6, 2.6, 2.8, 2.7, 2.63, 2.75
0, 2.9, 3.1, 2.8, 3.1, 3.25, 3.1, 3, 3.2
1, 1.17, 1.15, 1.15, 1.15, 1.2, 1.18, 1.18, 1.18
0, 2, 2, 2, 1.95, 2.11, 2.05, 2, 2.1
1, 1.17, 1.14, 1.15, 1.15, 1.19, 1.18, 1.17, 1.17
1, 1.73, 1.7, 1.75, 1.75, 1.76, 1.73, 1.73, 1.75
1, 1.33, 1.36, 1.35, 1.33, 1.35, 1.33, 1.33, 1.33
0, 1.8, 1.75, 1.8, 1.75, 1.86, 1.8, 1.8, 1.85
0, 2.88, 2.7, 2.7, 2.75, 2.93, 2.6, 2.75, 2.9
1, 3.3, 3.6, 3.2, 3.2, 3.55, 3.25, 3.3, 3.5
0, 2.8, 2.6, 2.6, 2.7, 2.94, 2.7, 2.75, 2.9
1, 4.75, 4.25, 4.2, 4.33, 4.82, 4, 4.8, 4.75
0, 1.73, 1.67, 1.7, 1.7, 1.74, 1.73, 1.73, 1.73
0, 12, 10.5, 9, 12, 12.48, 11, 11, 13
0, 1.57, 1.62, 1.55, 1.57, 1.61, 1.6, 1.57, 1.6
1, 1.25, 1.22, 1.22, 1.25, 1.26, 1.29, 1.29, 1.25
1, 1.14, 1.17, 1.15, 1.15, 1.14, 1.17, 1.14, 1.13
0, 1.85, 1.95, 1.85, 1.83, 1.95, 1.83, 1.9, 1.92
1, 2.1, 2.1, 2.1, 2.05, 2.23, 2.1, 2.1, 2.2
0, 1.75, 1.65, 1.7, 1.67, 1.79, 1.67, 1.73, 1.8
0, 7, 6.5, 5.5, 6.5, 7.89, 6.5, 7.5, 7.5
0, 2.9, 2.75, 2.6, 2.75, 3.03, 2.8, 2.8, 2.9
1, 1.57, 1.6, 1.55, 1.6, 1.63, 1.6, 1.57, 1.65
0, 4.75, 5.75, 4.3, 5.25, 5.36, 4.6, 5, 5.4
1, 2.9, 2.95, 2.8, 2.8, 3.03, 2.8, 2.8, 2.9
0, 2, 1.95, 1.9, 1.95, 2.14, 1.95, 2.05, 2.15
0, 1.36, 1.36, 1.35, 1.36, 1.38, 1.36, 1.36, 1.36
0, 8.5, 7.25, 7.5, 7.5, 8.89, 6.5, 8, 8.5
0, 8.5, 7, 6.5, 7, 8.25, 7, 7.5, 8.5
1, 1.91, 1.95, 1.9, 1.95, 2.06, 1.91, 1.95, 2.05
0, 1.85, 1.83, 1.8, 1.85, 1.95, 1.73, 1.9, 1.95
1, 1.18, 1.17, 1.17, 1.18, 1.2, 1.18, 1.18, 1.2
0, 2.1, 2.15, 2, 2.2, 2.25, 2.1, 2.1, 2.3
0, 1.13, 1.14, 1.15, 1.15, 1.17, 1.17, 1.17, 1.17
0, 2.1, 2.1, 2, 2.1, 2.25, 2, 2.2, 2.25
0, 3.8, 3.9, 3.3, 3.9, 4.33, 3.6, 3.8, 4.2
0, 2.1, 2, 2.1, 2.1, 2.18, 2.1, 2.1, 2.15
0, 2.4, 2.5, 2.5, 2.4, 2.46, 2.38, 2.4, 2.45
0, 2.2, 2.2, 2.2, 2.15, 2.29, 2.15, 2.2, 2.25
0, 3, 3, 2.7, 3, 3.21, 3, 3, 3.25
1, 2.05, 1.95, 2, 2.05, 2.07, 2, 2, 2.05
1, 1.33, 1.28, 1.3, 1.3, 1.32, 1.33, 1.33, 1.33
0, 15, 13, 10, 12, 15.77, 11, 13, 15
0, 5.5, 4.75, 4.8, 4.8, 5.14, 4.6, 5, 5.25
1, 3, 3, 2.8, 3, 3.25, 3.1, 3, 3.2
1, 3.75, 3.8, 3.3, 3.5, 3.91, 3.5, 3.75, 3.9
1, 2.2, 2.15, 2.1, 2.1, 2.26, 2.25, 2.2, 2.25
0, 1.4, 1.42, 1.42, 1.36, 1.42, 1.4, 1.4, 1.4
1, 2.6, 2.55, 2.4, 2.55, 2.68, 2.45, 2.5, 2.7
0, 1.83, 1.75, 1.7, 1.75, 1.85, 1.75, 1.83, 1.83
0, 2.5, 2.4, 2.2, 2.45, 2.65, 2.45, 2.5, 2.6
1, 1.29, 1.25, 1.25, 1.28, 1.32, 1.25, 1.29, 1.3
0, 2.75, 2.75, 2.55, 2.75, 2.76, 2.7, 2.63, 2.75
1, 1.57, 1.62, 1.55, 1.6, 1.62, 1.62, 1.57, 1.6
0, 2.25, 2.2, 2, 2.15, 2.38, 2.25, 2.25, 2.25
0, 8, 8, 7.5, 8, 8.8, 7.5, 7.5, 9
0, 11, 8, 8, 10, 11.69, 10, 8.5, 11
1, 1.36, 1.4, 1.35, 1.4, 1.38, 1.44, 1.36, 1.4
0, 2.8, 2.7, 2.6, 2.75, 3.04, 2.8, 2.88, 3
0, 1.62, 1.57, 1.6, 1.6, 1.62, 1.6, 1.62, 1.6
1, 2.8, 2.7, 2.6, 2.75, 2.89, 2.6, 2.8, 2.88
0, 1.62, 1.65, 1.65, 1.57, 1.58, 1.65, 1.62, 1.6
0, 1.6, 1.7, 1.65, 1.65, 1.66, 1.73, 1.67, 1.67
1, 1.57, 1.5, 1.5, 1.57, 1.6, 1.5, 1.57, 1.57
0, 1.25, 1.22, 1.2, 1.22, 1.23, 1.22, 1.25, 1.22
0, 4.2, 4.4, 4, 4.33, 4.99, 4, 4.33, 4.6
1, 2.15, 2.2, 2.3, 2.1, 2.21, 2.25, 2.1, 2.15
1, 2.05, 2.05, 2.2, 2.05, 2.14, 2, 2.05, 2.15
0, 2.6, 2.6, 2.5, 2.5, 2.75, 2.6, 2.6, 2.7
1, 2.38, 2.3, 2.1, 2.25, 2.41, 2.38, 2.38, 2.4
0, 2.9, 2.6, 2.6, 2.9, 3.14, 2.9, 2.8, 3
1, 1.25, 1.28, 1.33, 1.28, 1.3, 1.25, 1.3, 1.29
1, 11, 8.5, 7.5, 9, 9.54, 9, 8, 10
0, 2.88, 2.7, 2.6, 2.85, 3.07, 2.7, 2.8, 2.9
0, 1.95, 2, 2, 2, 2.08, 2.05, 2, 2
0, 1.75, 1.8, 1.8, 1.75, 1.85, 1.73, 1.73, 1.8
0, 6, 5.5, 5.5, 6, 7.05, 6, 5.75, 6.5
1, 1.4, 1.4, 1.35, 1.44, 1.45, 1.35, 1.4, 1.44
0, 1.91, 1.9, 1.9, 1.9, 2.01, 1.85, 1.91, 1.95
0, 1.17, 1.16, 1.2, 1.16, 1.17, 1.17, 1.17, 1.17
0, 2, 1.9, 1.9, 1.95, 1.98, 1.95, 2, 2
0, 3, 2.95, 2.8, 2.9, 3.08, 2.8, 2.88, 3
1, 1.57, 1.6, 1.6, 1.61, 1.61, 1.6, 1.62, 1.65
0, 5.5, 5.25, 4.8, 5.5, 6.3, 5, 5.75, 6.25
0, 2.55, 2.4, 2.5, 2.45, 2.73, 2.38, 2.5, 2.62
0, 3.6, 3.3, 3.2, 3.6, 3.93, 3.4, 3.5, 3.8
1, 2.6, 2.75, 2.6, 2.65, 2.83, 2.7, 2.63, 2.7
0, 2.6, 2.4, 2.3, 2.5, 2.77, 2.38, 2.5, 2.75
1, 1.33, 1.33, 1.3, 1.3, 1.38, 1.29, 1.33, 1.36
1, 1.36, 1.3, 1.3, 1.35, 1.38, 1.36, 1.36, 1.36
0, 3.2, 3, 3, 3.1, 3.4, 3.1, 3.13, 3.3
0, 13, 12.5, 9, 13, 14.4, 11, 12, 15
0, 7, 5.75, 5.5, 6.5, 7.32, 6, 6.5, 7.5
1, 1.57, 1.57, 1.6, 1.55, 1.57, 1.6, 1.53, 1.55
1, 2.1, 1.95, 1.9, 2.1, 2.18, 2.05, 2.1, 2.15
0, 3.6, 3.2, 3.3, 3.6, 3.64, 3.5, 3.4, 3.5
1, 1.08, 1.08, 1.1, 1.08, 1.09, 1.1, 1.07, 1.09
