SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 3, 3, 3, 3.4, 3.3, 3.16, 3, 3.6
0, 4.75, 4.75, 4.75, 4.5, 4.5, 5.1, 4.33, 5
-1, 2.5, 2.6, 2.6, 2.6, 2.4, 2.7, 2.62, 2.63
0, 1.36, 1.35, 1.35, 1.4, 1.29, 1.37, 1.33, 1.36
0, 2.1, 2.1, 2.1, 2.2, 2, 2.14, 2.05, 2.1
0, 5, 5.5, 5.5, 4.5, 4.33, 5.93, 4.8, 5
0, 3.6, 3.6, 3.6, 3.1, 3.2, 3.92, 3.6, 3.5
0, 3, 2.95, 2.95, 2.8, 2.75, 3.05, 2.9, 3
0, 3.6, 3.7, 3.7, 3.3, 3.4, 3.87, 3.6, 3.5
1, 12, 12.5, 12.5, 10.5, 10, 13.81, 9.5, 12
1, 9.5, 8.5, 1.5, 7, 1.5, 9.79, 9, 8.5
0, 3.1, 3.5, 3.5, 3.1, 3, 3.42, 3.1, 3
0, 4.75, 4.75, 4.75, 4.5, 4, 4.8, 4.33, 4.33
1, 2.25, 2.35, 2.35, 2.4, 2.3, 2.49, 2.38, 2.38
-1, 1.3, 1.36, 1.36, 1.37, 1.3, 1.34, 1.35, 1.33
-1, 9, 8.25, 8.25, 8, 8, 9.02, 7.5, 8.5
0, 4.2, 4.4, 4.4, 4.2, 3.8, 4.17, 4.4, 4
-1, 1.33, 1.34, 1.34, 1.35, 1.3, 1.33, 1.36, 
0, 2.88, 3.2, 3.2, 2.9, 2.75, 3.05, 2.88, 3
1, 13, 12.5, 12.5, 12, 11, 13.85, 11, 15
0, 4.5, 4.33, 4.33, 4.4, 4, 4.85, 4.2, 4.33
1, 1.91, 1.95, 1.95, 1.9, 1.83, 1.91, 1.85, 1.95
0, 3.5, 3.4, 3.4, 3.1, 3, 3.65, 3.2, 3.25
0, 2.25, 2.3, 2.3, 2.2, 2.2, 2.21, 2.3, 2.4
-1, 3.1, 2.9, 2.9, 3.1, 2.88, 3.08, 3.1, 3.2
1, 15, 18, 18, 16, 13, 23.1, 15, 15
0, 1.5, 1.5, 1.5, 1.45, 1.44, 1.47, 1.44, 1.5
0, 3.8, 4.33, 4.33, 3.8, 3.6, 4.01, 3.6, 3.6
1, 2.8, 2.65, 2.65, 2.7, 2.6, 2.87, 2.7, 2.75
1, 7, 6.75, 6.75, 7, 6, 7.64, 6.5, 7
1, 2.7, 2.45, 2.45, 2.5, 2.5, 2.75, 2.7, 2.63
1, 7, 7.5, 7.5, 7, 6.5, 8.62, 7.5, 7
-1, 2, 2.15, 2.15, 2.5, 2.2, 2.22, 2.25, 2.1
-1, 1.44, 1.5, 1.5, 1.4, 1.44, 1.5, 1.44, 1.5
0, 1.36, 1.3, 1.3, 1.33, 1.3, 1.38, 1.33, 1.33
0, 7.5, 7, 7, 6.3, 6, 7.7, 6.5, 7
0, 4, 3.9, 3.9, 3.7, 3.4, 4.06, 3.3, 3.6
1, 3, 3, 3, 3, 2.8, 3.1, 3.2, 3
-1, 3.8, 4.4, 4.4, 4, 3.5, 4.21, 3.75, 3.75
-1, 2.88, 3.1, 3.1, 3, 2.75, 2.89, 3, 2.88
1, 17, 17.5, 17.5, 14, 13, 22.77, 15, 17
-1, 3.4, 3.1, 3.1, 3.2, 3, 3.47, 3.2, 3.12
-1, 3, 3.2, 3.2, 3.1, 2.88, 3.29, 3.2, 3
-1, 4, 3.9, 3.9, 3.8, 3.6, 4.11, 3.75, 3.8
1, 6.5, 7, 7, 5.5, 5.5, 7.2, 6, 6
0, 2.75, 2.7, 2.7, 2.5, 2.5, 2.71, 2.6, 2.62
0, 9, 8.75, 8.75, 7, 7.5, 9.26, 7.5, 8
-1, 2.75, 2.65, 2.65, 2.7, 2.6, 2.84, 2.7, 2.75
1, 4.5, 4.6, 4.6, 4.3, 4.33, 5.05, 4.75, 4.8
-1, 2.7, 2.75, 2.75, 2.8, 2.5, 2.7, 2.7, 2.62
-1, 1.44, 1.44, 1.44, 1.45, 1.44, 1.47, 1.44, 1.44
0, 3.4, 3.3, 3.3, 3.1, 2.88, 3.37, 3.1, 3.12
-1, 1.36, 1.34, 1.34, 1.35, 1.33, 1.37, 1.33, 1.36
-1, 2.3, 2.3, 2.3, 2.2, 2.2, 2.3, 2.25, 2.3
1, 3.1, 3, 3, 3, 2.88, 3.18, 3, 3
0, 6, 7, 7, 6.3, 5.5, 7.62, 6.5, 6.25
1, 15, 12.5, 12.5, 11, 11, 17.5, 13, 12
1, 12, 11.5, 11.5, 10.5, 10, 1.5, 9.5, 11
1, 7.5, 6.75, 6.75, 7, 6.5, 8.2, 7, 7.5
-1, 3.75, 3.4, 3.4, 3.7, 3.25, 3.65, 3.3, 3.5
-1, 2.8, 2.8, 2.8, 3, 2.75, 2.98, 2.88, 2.8
-1, 4.75, 4.5, 4.5, 4.5, 4.33, 5.21, 4.6, 4.8
0, 3.8, 3.9, 3.9, 3.7, 3.4, 4.16, 3.6, 3.75
1, 1.62, 1.65, 1.65, 1.75, 1.6, 1.67, 1.6, 1.62
-1, 2.88, 2.8, 2.8, 3, 2.75, 2.98, 2.8, 2.88
-1, 2.88, 3.1, 3.1, 3.2, 2.8, 3, 3, 2.88
1, 3.6, 3.9, 3.9, 3.6, 3.25, 3.68, 3.4, 3.5
1, 3.75, 3.6, 3.6, 3.6, 3.4, 3.78, 3.6, 3.6
1, 15, 15.5, 15.5, 16, 13, 1.5, 15, 15
-1, 1.53, 1.48, 1.48, 1.5, 1.5, 1.5, 1.5, 1.5
1, 3, 3.2, 3.2, 2.8, 2.8, 3.07, 3, 3
0, 4.75, 4.6, 4.6, 3.8, 4.5, 5.36, 4.8, 4.8
0, 2.7, 2.65, 2.65, 2.7, 2.6, 2.88, 2.7, 2.63
1, 15, 12.5, 12.5, 13, 11, 17.75, 13, 13
0, 3.4, 3.7, 3.7, 3.4, 3.2, 3.66, 3.3, 3.4
1, 4, 4.2, 4.2, 4.2, 3.8, 4.34, 3.8, 4.33
-1, 2.75, 2.95, 2.95, 2.7, 2.62, 2.82, 2.7, 2.8
-1, 2.05, 1.87, 1.87, 1.9, 2, 2.09, 2.05, 2.05
0, 1.95, 1.87, 1.87, 1.85, 1.83, 1.94, 1.85, 1.91
0, 3.2, 3.4, 3.4, 3.1, 3, 3.38, 3.2, 3.13
1, 4, 3.4, 3.4, 3.4, 3.4, 3.99, 3.6, 3.75
1, 26, 20, 20, 17, 15, 1.5, 17, 17
-1, 4, 3.9, 3.9, 3.8, 3.6, 4.2, 3.8, 3.8
1, 3.5, 3.3, 3.3, 3.3, 3.2, 3.42, 3.2, 3.3
1, 2.88, 3, 3, 2.9, 2.75, 2.91, 2.8, 2.88
0, 3.25, 3.1, 3.1, 3, 2.88, 3.28, 3.1, 3.13
-1, 1.95, 1.9, 1.9, 1.9, 1.91, 1.96, 2, 1.95
-1, 2, 1.9, 1.9, 1.9, 1.91, 2.04, 2, 1.95
1, 2.4, 2.5, 2.5, 2.4, 2.38, 2.52, 2.45, 2.5
1, 17, 11.5, 11.5, 11, 12, 16.85, 11, 13
0, 2.4, 2.3, 2.3, 2.3, 2.3, 2.44, 2.3, 2.4
0, 3.75, 3.6, 3.6, 3.4, 3.2, 3.58, 3.3, 3.5
0, 3.1, 3.3, 3.3, 3.3, 2.88, 3.18, 3, 3.13
1, 3.5, 3.3, 3.3, 3.25, 3.2, 3.62, 3.4, 3.4
1, 7.5, 6.25, 6.25, 7, 6, 8.45, 6.5, 7
1, 4, 4.5, 4.5, 3.5, 3.6, 4.24, 3.6, 3.8
0, 2.8, 2.85, 2.85, 2.7, 2.75, 2.97, 2.8, 2.75
1, 14, 13.5, 13.5, 14, 11, 16.28, 11, 12
-1, 4.2, 4.5, 4.5, 4, 4, 5.01, 4.2, 4.33
-1, 4.75, 5.25, 5.25, 4.5, 4.5, 5.13, 4.8, 5.25
-1, 1.36, 1.36, 1.36, 1.35, 1.33, 1.39, 1.36, 1.4
0, 3.75, 3.75, 3.75, 3.5, 3.6, 4.19, 3.6, 3.75
1, 9, 10, 10, 8.5, 8, 10.44, 8, 8.5
0, 2.8, 2.85, 2.85, 2.9, 2.75, 3.06, 2.88, 3.4
1, 2.05, 2, 2, 1.9, 2, 2, 2, 2
0, 3.1, 3, 3, 3.1, 2.88, 3.19, 2.88, 3
-1, 2.9, 2.9, 2.9, 2.8, 2.75, 2.98, 2.8, 2.88
-1, 2, 1.95, 1.95, 2.1, 2.1, 1.99, 2, 2
1, 3.75, 3.9, 3.9, 3.9, 3.6, 4.06, 3.6, 3.8
1, 3.1, 3.1, 3.1, 3.2, 2.88, 3.16, 3.1, 3
-1, 2.8, 2.8, 2.8, 2.9, 2.75, 3, 2.88, 2.8
1, 7.5, 8.25, 8.25, 7.5, 7, 8.46, 7.5, 8
1, 13, 15, 15, 13, 11, 16.6, 13, 13
-1, 3.8, 4.1, 4.1, 3.9, 3.4, 4.02, 3.6, 3.8
1, 4, 4.2, 4.2, 4, 3.6, 4.19, 3.75, 4
-1, 4.2, 3.7, 3.7, 3.5, 3.5, 4.18, 3.6, 3.8
1, 9, 9, 9, 8, 8, 9.35, 9, 8
1, 2.88, 2.85, 2.85, 2.8, 1.5, 2.78, 2.7, 2.8
-1, 1.25, 1.25, 1.25, 1.3, 1.5, 1.22, 1.29, 1.25
-1, 1.22, 1.26, 1.26, 1.25, 1.5, 1.25, 1.25, 1.25
1, 3.75, 3.9, 3.9, 3.4, 3.6, 4.26, 3.6, 3.8
-1, 2, 1.95, 1.95, 2, 2, 2.1, 2, 2.1
0, 4.33, 4.1, 4.1, 3.8, 3.8, 4.17, 3.8, 4
0, 3, 3.1, 3.1, 2.9, 2.9, 3, 2.8, 2.88
-1, 2.05, 2, 2, 1.9, 2, 2.11, 2, 2
-1, 2.25, 2.3, 2.3, 2.3, 2.2, 2.3, 2.25, 2.25
0, 7.5, 6.5, 6.5, 7, 7, 8.53, 7, 7.5
1, 13, 15, 15, 16, 15, 22, 15, 15
-1, 1.36, 1.34, 1.34, 1.35, 1.28, 1.35, 1.33, 1.36
1, 2.25, 2.1, 2.1, 2.2, 2.2, 2.27, 2.25, 2.3
0, 1.65, 1.67, 1.67, 1.65, 1.61, 1.67, 1.73, 1.67
1, 21, 21, 21, 17, 13, 1.5, 21, 17
1, 2.75, 2.8, 2.8, 2.8, 2.5, 2.81, 2.88, 2.75
-1, 6, 5.5, 5.5, 5.2, 1.5, 5.9, 4.8, 5.5
0, 2.75, 2.8, 2.8, 2.8, 2.5, 2.77, 2.7, 2.8
1, 3.75, 4.1, 4.1, 3.4, 3.3, 3.94, 3.6, 3.8
1, 3.75, 3.6, 3.6, 3.4, 3.4, 3.82, 3.4, 3.6
