SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
0, 3, 3, 3, 2.9, 3.1, 3.16, 2.9, 3
1, 3.6, 3.7, 3.7, 3.3, 3.25, 3.86, 3.5, 3.5
0, 3.1, 3, 3, 3, 3.1, 3.2, 2.9, 3
1, 4.5, 4.4, 4.4, 3.7, 4.33, 5, 4.5, 4.33
1, 3.2, 3.1, 3.1, 3, 3.2, 3.35, 3.1, 3.2
1, 3.4, 3.4, 3.4, 3.3, 3.2, 3.85, 3.4, 3.5
1, 3.2, 3.1, 3.1, 3, 3, 3.31, 3.1, 3.2
1, 3, 3, 3, 3, 3, 3.17, 2.9, 3
1, 3.4, 3.1, 3.1, 3, 3, 3.34, 3.1, 3.13
0, 5.5, 5.5, 5.5, 4.6, 5, 5.91, 4.8, 5.25
0, 4, 4.2, , 3.6, , 4.6, 4.2, 4
1, 3.25, 3.2, 3.2, 3, 3, 3.28, 3, 3.13
1, 3.3, 3.3, 3.3, 3.1, 3.2, 3.56, 3.3, 3.4
0, 3.25, 3, 3, 2.9, 3, 3.26, 3, 3.13
0, 5, 4.5, 4.5, 3.8, 4.33, 5.27, 4.6, 4.5
0, 4.5, 4.1, 4.1, 3.8, 3.8, 4.54, 4.2, 4
1, 3.2, 3.2, 3.2, 3, 3, 3.3, 3.1, 3.2
0, 5, 4.5, 4.5, 4, 4.33, 5.07, 4.5, 
1, 3.2, 3, 3, 3, 3, 3.22, 3, 3.13
0, 6, 6, 6, 5, 5, 6.31, 6, 5.5
1, 3.4, 3.2, 3.2, 3, 3.2, 3.46, 3.2, 3.3
0, 3.4, 3.2, 3.2, 3, 3.25, 3.64, 3.5, 3.3
1, 3.1, 3.1, 3.1, 3, 3, 3.27, 3, 3.2
1, 3.1, 3, 3, 3, 3, 3.27, 3.1, 3.13
0, 3.25, 3.2, 3.2, 3, 3, 3.31, 3.1, 3.25
0, 7, 6.75, 6.75, 6, 6, 7.99, 6, 6.5
1, 4, 3.9, 3.9, 3.6, 3.8, 4.38, 4, 4
1, 3.3, 3.2, 3.2, 3.1, 3.2, 3.44, 3.2, 3.3
0, 3.1, 3.1, 3.1, 3, 3, 3.27, 3, 3.13
0, 4, 3.6, 3.6, 3.6, 3.75, 4.13, 3.75, 3.8
0, 3.1, 3.25, 3.25, 3, 3, 3.22, 2.9, 3.13
0, 4, 3.7, 3.7, 3.6, 3.6, 4.2, 3.75, 4
0, 3.3, 3.1, 3.1, 3, 3, 3.34, 3.1, 3.25
