SIGN, B365H, B365D, B365A, BWH, BWD, BWA, IWH, IWD, IWA, LBH, LBD, LBA, PSH, PSD, PSA, WHH, WHD, WHA, SJH, SJD, SJA, VCH, VCD, VCA, Bb1X2, BbMxH, BbAvH, BbMxD, BbAvD, BbMxA, BbAvA, BbOU, BbMxmq2p5, BbAvmq2p5, BbMxmn2p5, BbAvmn2p5, BbAH, BbAHh, BbMxAHH, BbAvAHH, BbMxAHA, BbAvAHA
-1.00, 3.60, 3.25, 2.10, 3.60, 3.10, 2.10, 3.10, 3.00, 2.20, 3.90, 3.10, 1.91, 3.89, 3.43, 2.08, 3.60, 3.20, 2.00, 3.60, 3.20, 2.05, 3.75, 3.40, 2.10, 31.00, 4.45, 3.87, 3.55, 3.29, 2.10, 1.95, 28.00, 2.26, 2.16, 1.76, 1.68, 15.69, 1.00, 1.00, 1.00, 1.99, 1.92
1.00, 2.30, 3.25, 3.10, 2.20, 3.10, 3.30, 2.30, 3.10, 2.90, 1.95, 3.00, 4.00, 2.39, 3.37, 3.17, 2.25, 3.20, 2.75, 2.30, 3.25, 3.00, 2.40, 3.30, 3.12, 31.00, 2.44, 2.32, 3.37, 3.19, 3.20, 3.02, 26.00, 2.25, 2.16, 1.80, 1.67, 15.71, 1.00, 1.00, 1.00, 1.99, 1.92
1.00, 2.00, 3.40, 3.75, 1.95, 3.25, 3.80, 1.80, 3.20, 4.20, 1.95, 3.10, 3.80, 2.05, 3.43, 4.00, 1.67, 3.40, 4.33, 1.95, 3.30, 3.60, 2.05, 3.40, 4.00, 30.00, 2.05, 1.97, 3.43, 3.29, 4.40, 3.78, 26.00, 2.30, 2.20, 1.75, 1.65, 15.72, 1.00, 1.00, 1.00, 1.99, 1.92
-1.00, 2.63, 3.10, 2.75, 2.50, 3.00, 2.85, 2.40, 3.00, 2.85, 2.55, 3.00, 2.65, 2.76, 3.14, 2.86, 2.60, 3.00, 2.70, 2.63, 3.13, 2.63, 2.62, 3.10, 2.70, 30.00, 2.80, 2.63, 3.25, 3.07, 2.86, 2.70, 19.00, 2.44, 2.28, 1.68, 1.59, 15.74, 1.00, 1.00, 1.00, 1.99, 1.92
1.00, 2.30, 3.20, 3.10, 2.40, 3.00, 3.00, 2.30, 3.10, 2.90, 2.40, 3.00, 2.90, 2.54, 3.23, 3.06, 2.45, 3.00, 2.90, 2.38, 3.00, 3.00, 2.38, 3.10, 3.00, 31.00, 2.60, 2.40, 3.25, 3.08, 3.20, 2.97, 19.00, 2.38, 2.29, 1.68, 1.58, 15.76, 1.00, 1.00, 1.00, 1.99, 1.92
1.00, 7.50, 4.20, 1.44, 7.25, 4.20, 1.42, 7.50, 3.80, 1.40, 7.50, 4.10, 1.40, 8.85, 4.55, 1.43, 8.00, 4.00, 1.40, 8.50, 4.33, 1.40, 8.50, 4.40, 1.36, 31.00, 10.50, 7.72, 4.55, 4.29, 1.45, 1.40, 27.00, 1.98, 1.91, 2.00, 1.89, 15.77, 1.00, 1.00, 1.00, 1.99, 1.92
-1.00, 12.00, 5.50, 1.25, 10.00, 5.00, 1.28, 10.50, 4.60, 1.25, 12.00, 5.00, 1.25, 13.65, 5.67, 1.28, 11.00, 5.00, 1.25, 12.00, 5.25, 1.25, 13.00, 5.50, 1.22, 31.00, 15.00, 11.06, 6.60, 5.52, 1.28, 1.25, 27.00, 1.87, 1.80, 2.10, 2.00, 15.79, 1.00, 1.00, 1.00, 1.99, 1.92
1.00, 1.40, 4.50, 8.00, 1.36, 4.40, 8.25, 1.40, 3.80, 7.50, 1.36, 4.25, 8.50, 1.41, 4.73, 9.19, 1.40, 4.20, 7.50, 1.40, 4.33, 7.50, 1.36, 4.33, 8.50, 31.00, 1.46, 1.39, 4.73, 4.35, 9.40, 7.73, 27.00, 2.02, 1.95, 1.95, 1.85, 15.81, 1.00, 1.00, 1.00, 1.99, 1.92
-1.00, 4.00, 3.40, 1.91, 4.33, 3.50, 1.78, 4.00, 3.20, 1.80, 4.00, 3.40, 1.80, 4.50, 3.50, 1.92, 4.20, 3.20, 1.85, 4.00, 3.30, 1.90, 4.33, 3.50, 1.91, 31.00, 4.50, 4.03, 3.50, 3.34, 1.95, 1.89, 29.00, 2.25, 2.16, 1.83, 1.68, 15.00, 0.75, 1.74, 1.69, 2.28, 2.20
1.00, 2.60, 3.20, 2.70, 2.65, 3.10, 2.60, 2.60, 3.00, 2.60, 2.60, 3.00, 2.60, 2.80, 3.17, 2.80, 2.70, 3.00, 2.60, 2.63, 3.13, 2.63, 2.75, 3.20, 2.75, 32.00, 2.82, 2.67, 3.25, 3.09, 2.82, 2.64, 21.00, 2.42, 2.28, 1.66, 1.59, 16.00, 0.00, 1.98, 1.93, 1.96, 1.90
-1.00, 2.90, 3.25, 2.40, 3.10, 3.10, 2.30, 2.80, 3.10, 2.30, 3.10, 3.00, 2.25, 3.25, 3.30, 2.38, 3.10, 3.10, 2.25, 3.00, 3.13, 2.38, 3.20, 3.25, 2.38, 32.00, 3.25, 3.01, 3.30, 3.13, 2.48, 2.35, 19.00, 2.38, 2.26, 1.72, 1.60, 16.00, 0.00, 2.31, 2.19, 1.74, 1.67
1.00, 1.17, 7.00, 15.00, 1.15, 7.00, 14.50, 1.15, 6.00, 13.00, 1.15, 6.50, 17.00, 1.20, 7.45, 16.02, 1.18, 6.00, 13.00, 1.18, 7.00, 11.00, 1.18, 7.00, 17.00, 32.00, 1.20, 1.18, 8.00, 6.74, 20.00, 13.16, 19.00, 1.60, 1.52, 2.56, 2.44, 17.00, -2.00, 2.10, 2.04, 1.92, 1.82
0.00, 2.00, 3.30, 3.80, 2.00, 3.40, 3.50, 2.00, 3.20, 3.30, 1.95, 3.30, 3.50, 2.11, 3.48, 3.73, 2.05, 3.25, 3.40, 2.00, 3.30, 3.60, 2.10, 3.40, 3.60, 31.00, 2.11, 2.04, 3.48, 3.30, 4.00, 3.51, 28.00, 2.03, 1.95, 1.95, 1.84, 15.00, -0.25, 1.83, 1.78, 2.14, 2.08
