Academica;LPMR
Alverca;LPAR
Arouca;LPMT
Aves;LPPR
Beira Mar;LPOV
Belenenses;SBBE
Benfica;LPPT
Boavista;LPPR
Campomaior;LEBZ
Campomaiorense;LEBZ
Chaves;LPPR
Desp. Chaves;LPPR
Espinho;LPOV
Est Amadora;LPPT
Estoril;LPPT
Farense;LPFR
Feirense;LPOV
Felgueiras;LPPR
Gil Vicente;LPPR
Guimaraes;LPPR
Leca;LPOV
Leiria;LPMR
Leixoes;LPPR
Madeira;LPMA
Maritimo;LPMA
Moreirense;LPOV
Nacional;LPMA
Naval;LPMR
Olhanense;LPFR
Pacos Ferreira;LPFR
Penafiel;LPPR
Portimonense;LPFR
Porto;LPPR
Rio Ave;LPOV
Salgueiros;LPPR
Santa Clara;LPPD
Setubal;LPPT
Sp Braga;LPPR
Sp Lisbon;LPPT
Tirsense;LPPR
Trofense;LPPR
Varzim;LPPR
